DESCRIPTION,TRIGGERED
Touch screen tables in a restaurant where you can order your food and pay.,"bayes 0.9999879674120954, "
"A movie screen of any size where ever you want it. Controls are built into screen to pause
","bayes 0.9991753492687403, "
A white board that can be reset with a touch right off the surface.,"bayes 0.9994837377387713, "
Counter tops that display moving video.,"bayes 0.999770484278173, "
City operated location service a person could use to find the right location by spraying various areas around a city.,"bayes 0.9999999967984158, "
touch activated faucet,"bayes 0.9850746268656716, "
A big touch display on your door so that you can open it with a code and not use a key.,"bayes 0.9167489896722048, "
digital window for basement or windowless areas,"bayes 0.9984261112724049, "
On the outside of headphones to increase the volume.,"bayes 0.9094107299912048, "
A compilation of games that can be used like tic-tac-toe and other simple games with a setting to find each game.,"bayes 0.9999411182816612, "
digital ceiling to show stars or other destinations ,"bayes 0.9469406444965943, "
An alarm system that can only be accessed with your touch and unlocks your house for you.,"bayes 0.9993641737912184, "
Make your car buttons all into touch display buttons.,"bayes 0.9997408620531938, "
You could apply it on a table and write on it like if it was a notebook,"bayes 0.9111841973475442, "
You could turn an ordinary laptop or desktop pc into a touch computer.,"bayes 0.968933113511709, "
You could apply it on the ground and use it as a gamepad for dancing video games,"bayes 0.9993670380453151, "
"A bush trimmer that shows the desired bush size, the amount you've already trimmed, and how much is remaining for the desired trim. A picture of the bush with progression would be displayed.","bayes 0.9996175645633114, "
washing machine that keeps track of how much clothing is in inside,"bayes 0.9976501274831866, "
A hair dryer that displays how wet you hair still is and how much time is needed for it to dry.,"bayes 0.999999813430999, "
"A tablet to go.  Instead of carrying around a physical tablet, the coating could be carried instead to turn any surface into a touch tablet, like a liquid.  It could even use microprocessor and RAM technology within the coating, as well as data storage.  The coating would be in a small container.","bayes 0.9999999999999968, "
"A touch display could be added to restaurant tables to make orders, questions and concerns a seamless experience. ","bayes 0.9985769615134866, "
"a touch display on restaurant tables, so you can view menus, coupons and order food at the table without having to call a waiter or go to the register. ","bayes 0.9999928900638957, "
Wardrobe that tells you how much space is left inside after putting in clothes.,"bayes 0.999999753260492, "
A refrigerator where you can create a shopping list by tapping on products,"bayes 0.9993260907562271, "
A touch display mattress that could control firmness.,"bayes 0.9728876020005265, "
Apply it to a wall and be able to control the building,"bayes 0.9963686537012074, "
Touchscreen table that could serve as a computer.,"bayes 0.9055623825554601, "
"Despite being touch-sensitive, the objects don’t include a display, which means the inputs have to be read on another device.Right now, the system also can’t do multi-touch, referring to the common interaction method on a trackpad or touchscreen in which more than one points of contact with the surface are recognized simultaneously. That could well change in the future.","bayes 1.0, "
Touchscreen bottle that can adjust liquid temperature.,"bayes 0.9977531031172967, "
A portable piano,"Charcountbayes 0.9850746268656716, "
"This would be fantastic for a lot of things. I would love a touch display on my fridge that has the contents that are in it, allows me to meal plan, and tells me what I need. A touch screen on my tv would be awesome too, especially since I use Roku.","bayes 0.9999999999999806, "
Apply on a desk and use its surface as a keyboard / input device,"bayes 0.9846922800552341, "
You could add it to your water bottle so that it tells you how much is left and how much you have drank so far.,"bayes 0.999982958395574, "
Spray it on your bathroom mirror. You could accomplish tasks while getting ready in the morning. ,"bayes 0.999982958395574, "
You could add a touch display to your wall at home to control all or smart home devices.,"bayes 0.999998483897558, "
"Soon, coffee isn’t going to taste like coffee — at least not the dark, ashy roasts we drink today. Big producers want uniform taste, and a dark roast makes that easy: it evens out flavors and masks flaws. But now the best beans are increasingly being set aside and shipped in vacuum-sealed packs (instead of burlap bags). Improvements like these have allowed roasters to make coffee that tastes like Seville oranges or toasted almonds or berries, and that sense of experimentation is trickling down to the mass market; Starbucks, for instance, now has a Blonde Roast. As quality continues to improve, coffee will lighten, and dark roasts may just become a relic of the past. Oliver Strand","bayes 1.0, "
You could add it to your steering wheel so that you can control various parts of your car.,"bayes 0.9983935459419241, "
Put it on your purse. You would always have access to a display screen and could take notes where ever you go. ,"bayes 0.9997609070965032, "
a touch screen board. You could use it for presentation. You would have to use a special pen made for the screen to write on it. It would be a transparent glass but with touch display innovation.,"bayes 0.9999077045987153, "
Car audio video screen,"bayes 0.9685111586670743, "
Libraries could have a screen where patrons can look for books.,"bayes 0.99999715662829, "
touch screen stand mixer that can display recipes and check off ingredients as you put them in,"bayes 0.9959256970652652, "
you could use it on any surface for a hands on experience for anything you are trying to learn ,"bayes 0.9999999999227771, "
"The technology is based around an algorithm that’s able to read a finger press by sensing changes in the flow of electricity over a conductive surface. This concept is called electric field tomography, and involves running small amounts of current through pairs of electrodes and looking for any voltage differences. By attaching electrodes to the periphery of the object covered in Carnegie Mellon’s smart conductive coating, Harrison and colleagues demonstrated that it was possible to sense exactly where a touch had been place","bayes 1.0, "
Make television remotes more innovative and interactive.,"bayes 0.9636775818639798, "
An entire wall or room could be a touch display. I'm thinking an entire interactive room. A bigger room could potentially become an IMAX movie theater. ,"bayes 0.9999997632597738, "
A touch display glove could be convenient. ,"bayes 0.9817602266690278, "
Light switches,"Charcountbayes 0.9850746268656716, "
You could use it to turn any wall in your house into a tv or a game ,"bayes 0.9996480408504073, "
A giant dome to view larger movies and other displays.,"bayes 0.9999999743344189, "
A T.V. display that you can use as a tablet.,"bayes 0.9777777777777779, "
A long armband fitted around the wrist that would act as a display for wearable gadgets.,"bayes 0.9999664137042522, "
You could coat every inch of your walls with it in your house and with a smart camera following your physical movements and eye movement you could have a display in front of them at all times that they could interact with.,"bayes 0.9999999982976205, "
A desk with a coating on top with turns the desktop into a keyboard touch display.,"bayes 0.9667334914585067, "
"kids table with a touch display. An interactive app for learning embedded in the touch display.  So, kids could learn and play with it. ","bayes 0.9999768719811571, "
You could make clothing that can react to touch.,"bayes 0.9817602266690278, "
A plain clipboard that can be used as a personal tablet.,"bayes 0.9670329670329672, "
interactive drawer that you put your mobile phones and desktop computer to find information quickly,"bayes 0.9999993669242321, "
"One area where the technology falls behind is accuracy. Electrick isn’t as well-suited for writing or sketching as other touchpads, but with a margin of error of one centimeter it’s a fine alternative for simple buttons and sliders. ","bayes 0.9999999999996693, "
Pizza Box That Separates Into Plates And Stores Leftovers,"bayes 0.9994837377387713, "
Put it on workout clothing to replace cellphones or tracking devices or music devices while exercising.,"bayes 0.999942424874243, "
clothes can interact with your phone and computer,"bayes 0.9268917342860757, "
"You can have an athletic shirt sleeve that gives you feedback on your heart rate, perspiration amounts, breathing rate, etc.","bayes 0.99996872992808, "
"It could be used as a wall poster that can display any image you want, even moving images.","bayes 0.9937306248779697, "
You can people turn the floor in your workout spot into a display that foresees all the activities you are doing and calculate calories.,"bayes 0.9999944507996895, "
Turn road signs into touchscreens for navigation and local information retrieval.,"bayes 0.9469406444965944, "
It can be applied to a yoga mat to show the exact positions your body should be in for certain poses.,"bayes 0.9999998596137133, "
Coat entire walls for theater movie experiences.,"bayes 0.9902261914852061, "
Use the display as a scanner to see what types of insects are entering your home.,"bayes 0.992229087137288, "
Applied to car exterior for customizable colors and styles.,"bayes 0.90112, "
"instant gps
",Charcount
Systems can make what we want and some of types get with it. So systems can change any into touch display.,"bayes 0.9999999398459113, "
able to transform any object or surface into a smart touch-sensitive one using nothing more than a fresh coat of paint. ,"bayes 0.9999999999993197, "
"digital medical personal medical history
","bayes 0.9999999895897965, "
"Once upon a time, the way to get a computer to do something useful was to feed it a stack of cards with holes punched into them. Thankfully, things have moved on a lot since then. Now we can get our computers to do things simply by pointing and clicking with a mouse—or even by speaking ordinary commands with voice recognition software. But there's a revolution coming that will make computers even easier to use with touch sensitive screens.","bayes 1.0, "
Sports bars tables could become individual televisions. ,"bayes 0.9999957349484986, "
A touchscreen counter-top where you can look up recipes and watch cooking tutorials.,"bayes 0.9911363610214631, "
"This coating would be revolutionary being applied to car windows, appliances, entertainment device screens; and even walls in the home or work.","bayes 0.9998628282874514, "
"A touch screen is a computer display screen that is also an input device. The screens are sensitive to pressure; a user interacts with the computer by touching pictures or words on the screen.

There are three types of touch screen technology:

Resistive: A resistive touch screen
Surface wave: Surface wave technology 
Capacitive: A capacitive touch screen ","bayes 0.9999999999281233, "
Spray on a wall to play videos games.,"bayes 0.9999882053784849, "
"computerized work desk
","bayes 0.9308260577568838, "
TV screen,"Charcountbayes 0.99, "
"i work in machinery maintenance, we have to work in some very difficult environments where it is not always possible to take the machine manuals etc with us. I would use this coating to turn machine label boards into touch screen displays that will provide us with all the information about the machine.","bayes 1.0, "
Apply to arms or chairs and couches for convenient access,"bayes 0.9287598944591029, "
I would provide this to teachers who can now turn white boards into large touch screens which would improve their teaching efficiency manifold. ,"bayes 0.9999999938326918, "
touchpad,"Charcount, Wordcount"
health monitor,"Charcountbayes 0.9850746268656716, "
You could use it on all the windows in your home making every window in your home have a different scenery ,"bayes 0.9999992712365479, "
A teddy bear for toddlers that helped them tap what they wanted to say before they have the ability to speak. You could have pictures of objects.,"bayes 0.9998169840392418, "
microoven,"Charcount, Wordcount"
personal holographs,"bayes 0.9850746268656716, "
"coffee table that allows you to control your TV, music, home automation, etc","bayes 0.9995977811954068, "
"A touch display shower door, where one could turn on and adjust the water, change lighting, and even control music.","bayes 0.9999997875715257, "
washing machine,Charcount
You could apply it on normal screen to make it become a touchscreen,"bayes 0.9598753408648227, "
"vanity or bathroom mirror that shows news, time, weather, sports","bayes 0.9988391590352121, "
On mirror to take pictures of yourself. ,"bayes 0.9670329670329672, "
Desktop,"Charcount, Wordcountbayes 0.99, "
A hidden room in your home. The display would have to be applied by the homeowner,"bayes 0.9886873851186379, "
Home theatre,"Charcountbayes 0.9850746268656716, "
"You could apply it on a wall, and project on it external images, captured with a camera, making it become like a window","bayes 0.99999010751443, "
Projector,"Charcount, Wordcount"
Monitor for medicine in a medicine cabinet,"bayes 0.9777777777777779, "
fishtank,"Charcount, Wordcount"
Products have any type of glass. That can make the touch display. Actually maximum product have glass types.,"bayes 0.9999999998942871, "
You could make a list of food items you have in the fridge and check without having to open it. ,"bayes 0.9970434772430795, "
car window,Charcount
desktop surface,"Charcountbayes 0.9998979800040808, "
frosted window,"Charcountbayes 0.9351385390428212, "
mobile screen ,"Charcountbayes 0.99, "
Turn the oven knobs into a touchscreen so that you can program it for cook times and temperature; even what type of food you are cooking.,"bayes 0.9950107066437148, "
A touch screen display on the kitchen counter so you can look up recipes or cooking videos while cooking.,"bayes 0.998447844033563, "
smart home control system on the wall,"bayes 0.9999228719590424, "
A touch screen for certain closets so you dont have to go in and have everything already set up so you can find it with a search function.,"bayes 0.9999528940705935, "
A bed that you could have a touch display on it.  This would be used to move the bed and contour it with the touch screen to make it most comfortable.,"bayes 0.9251178899815942, "
"Using Microsoft's motion-sensing Kinect, the futuristic technology works on walls, tables and panes of glass. It could help stores display interactive product information after hours, teachers create interactive lessons and architects as they turn a vision into reality.

","bayes 1.0, "
"running track that has a cool display as you run on it, plays music to the beat of footsteps","bayes 0.9980763033719091, "
"Display on stove-top to tell you when food is done
Display on floors to tell you when to clean
Display on shoes to tie laces
","bayes 0.9862192720072922, "
Electrodes set up around a surface coated with conductive paint are able to measure the voltage differences caused when someone’s finger comes in contact with it.,"bayes 0.9995925748522005, "
Group Dating Site So Women Don't Have To Meet Strangers Alon,"bayes 0.99999999946766, "
A Washing Machine That Uses Tiny Beads Instead Of Water To Remove Stains,"bayes 0.9978340931637718, "
smart homes,Charcount
https://www.newidea.com.au/the-block-courtney-and-hans-quit,Wordcount
"listening to music podcasts, radio","bayes 0.9670329670329672, "
A desk with a touch screen over it. You could use it to send email and do work without the clutter of a computer or tablet. ,"bayes 0.9860129129099158, "
 Lamp That Can Read Your Mind - It Turns The Color You're Thinking About,"bayes 0.9999998913873377, "
Interactive movie theater,"bayes 0.999830818915642, "
Refrigerators should have this feature to add products to a shopping list. ,"bayes 0.9999847548769224, "
A small travel sized bottle you can spray on maps to make them interactive so you can zoom in and manipulate them.,"bayes 0.9959097385874136, "
"A fridge with a touchscreen that tells you what groceries you currently have, along with allowing you to make a list for shopping. ","bayes 0.98896011194246, "
"he two products are completely different. Surface is a multi-touch and vision system that uses cameras to sense what is on the table, where it is and what it is doing","bayes 1.0, "
 A Robot Car That Does The Driving For You,"bayes 0.9534988713318284, "
Seats with the feature so you can touch a section and it will adjust accordingly. ,"bayes 0.9994837377387713, "
"If it is not harmful to the skin, this could be applied to one's arm. Then, a person's arm could essentially be a touchpad portal to the internet, without having to use any devices. ","bayes 0.9999960218090067, "
" Don't Google And Read Information, Google And Watch It","bayes 0.9994373275791428, "
A bottle you can spray on the periodic table in chemistry courses so you can select and rearrange compounds for more hands on learning minus the dangerous chemicals.,"bayes 0.9999999911878725, "
"Turn a wall into a touchscreen for games. It could be interactive and educational, perfect for home or school. ","bayes 0.9964320329637023, "
 A $150 Wonder Pen With A USB Drive That Records Every Written And Audible Word,"bayes 0.9999823913694232, "
"Restaurant menu, when you see something you want to order you swipe it and the waiting staff will bring it to your table. ","bayes 0.9972126186156149, "
A temporary multitouch display to extend your screen size while doing a task that needs some extra screen space. ,"bayes 0.9999997894205845, "
"A wall can become a new smart tv or touch capable monitor, you can basically have movie theater screen in your house. ","bayes 0.9999978292183793, "
Turn anything into a remote control,"bayes 0.9899473432264241, "
It could be applied to the dash of a car. This could eliminate the need for stereo systems or navigation systems in cars. The dash would completely integrate the interface.,"bayes 0.9999939820918143, "
 A Double-Sided Peanut Butter Jar So You Can Get Every Last Bit,"bayes 0.9986036395750365, "
A pet food distribution center where the animal can tap the screen and receive a treat or meal. Would allow for healthy regulation and training. ,"bayes 0.99999999999381, "
"This could be applied to a wall of a home. This would essentially turn the entire wall into a computer, or TV, screen, eliminating the need for televisions. It would also be invisible when not turned on. ","bayes 0.999999999408084, "
A door can now have a touch screen lock instead of an actual lock to make the door more secure.,"bayes 0.9106997866923553, "
NEW IDEA FOR IMAGINE THAT COULD COATING TURN SURFACE INTO DIFFERENT FEATURES,"Uppercasebayes 0.999694759667235, "
You can have a touch screen mirror that gives you recommended fashion styles ,"bayes 0.9513513513513513, "
you can change the temp on your old dumb fridge more easily without having to open the door at all.,"bayes 0.9478669346601767, "
"A spray for text books and reading material, letting you select, copy, save, and highlight specific text with your finger tips. ","bayes 0.9999999968094022, "
"The Internet is not merely connecting computers together for the benefit of humans; it’s connecting humans together to reinvent labor. This opens terrific opportunities along with real worries. Soon we’ll have to question whether an earnest-looking group of protesters with hand-lettered signs is genuine or simply rapidly convened as a paid flash mob: a crowdsourced crowd. We’ll be able to one-click shop for cheering throngs or protests at a particular location on a moment’s notice, indistinguishable from genuine collective sentiment. A house can be surveilled and a spouse tailed because an online bounty has been put out for anyone nearby to take a photo of the building at a particular address, or to “follow that car.”","bayes 1.0, "
Put it on a large sheet of flexible plastic to have a tablet that you can roll up,"bayes 0.9951160589386792, "
Cabinets that will show you how many dishes are currently clean ready for use. ,"bayes 0.9999999293573605, "
"On traditional roller coasters, your weight is centered over the wheels, but two new coasters — the X Flight at Six Flags Great America and Dollywood’s Wild Eagle — have you hanging off the side of the track, dangling in midair. It’s kind of like you’re sitting on the wings of a plane. The Swiss company Bolliger & Mabillard had to completely reimagine the seat design to handle the stress caused by the differently distributed weight. Cora Currier","bayes 1.0, "
On a window to allow you to view a better landscape if you don't like your real view,"bayes 0.9998725885241341, "
On tables at restaurants so the menu is always availalbe to view.,"bayes 0.999538633916998, "
A multitouch display beside the chopping board in the kitchen which can be used to display a recipe on the go. ,"bayes 0.9989675314167826, "
"You could make your front door (or any door) open-able using various methods from a simple symbol lock system, to a more complex set of button presses. ","bayes 0.9999999926787427, "
Use it on a car to make an easily changeable paint job,"bayes 0.9985626532913533, "
"This could be applied to a floor. This would allow certain types of apps that could be operated with one's foot. Games, exercise programs, and things of that nature could be applied. ","bayes 0.9999999999978815, "
Apply to baby strollers so you can browse while working out. ,"bayes 0.9991945510990858, "
Some of the systems can turn the displays from that into touch display.,"bayes 0.9999995395148249, "
"This could be applied to kitchen countertops. Then, a cook could use the internet to look up recipes and access tutorials on how to cook things hands free without leaving the kitchen. ","bayes 0.9999999873826358, "
You can use a touch display on your wall to watch surveillance cameras and control them.,"bayes 0.9966626975844924, "
Apply it on patio tables for browsing outdoors. ,"bayes 0.9996557659208262, "
"Put on a shirt so you can change the graphic on it, or even have moving pictures playing","bayes 0.9999442187081347, "
I think it would be a great idea for a touch screen oven/stove.  The reason I feel this would be a great addition is because it could help a lot of people with disabilities and help others that would like to cook but are afraid of being around the hot pieces of cookware.  This would essentially be a picture and your stove would be behind it.  You could just touch the items that you want to use and the heat you want to put it at to cook it.,"bayes 1.0, "
"you could make board games interactive like monopoly instead of using the typical hard board and paper money you could make the whole thing digital and use your kitchen table or coffee table
","bayes 0.9999998908206117, "
"A car would be great for this. You could touch your steering wheel and get information on the health of the car, fluid levels, and tire pressure. ","bayes 0.9703431985545153, "
Apply to suitcases for browsing while traveling.,"bayes 0.9996557659208262, "
Gadgets gave something about the display so we can access the display  that one can make touch display.,"bayes 0.9999999790688465, "
On clothing to create fantastic moving designs,"bayes 0.9998974374001846, "
"On the steering wheel face, for things like song changing, gps","bayes 0.9999999648655643, "
Apply to swing sets or play yard equipment for browsing out of doors. ,"bayes 0.9999877865405068, "
You can turn your bedroom wall into a touchscreen TV,"bayes 0.9159811513941293, "
A touchscreen in the home so you can lock the whole house and set the temperature as you leave.  This would be good as you leave for work or even if you went on vacation it can turn on and off lights at certain times.,"bayes 0.9999969702808229, "
Bathroom doors that can tell you if they're occupied,"bayes 0.9751426884363859, "
"Plastic frames were tried back in the ’90s, but they were too heavy. The materials and technology have improved. Thermoplastics are cheap and practically impervious to the elements.","bayes 0.9999999999999181, "
I have a new idea to develop a bluetooth pendrive so that we can transfer files between pendrives through bluetooth,"bayes 0.9990517689529652, "
"you could have a section of the countertop in the kitchen where you could just use your finger to write a grocery list
","bayes 0.9987390767170884, "
Thermostat that can be changed without the use of a dial or buttons. ,"bayes 0.903828197945845, "
"A hotel room with a touch display coated wall connected to a camera located in a nearby scenic area
","bayes 0.9900970166773998, "
"Monitors could become touch screens, improving the desktop computing experience. ","bayes 0.9999999997717729, "
Tables can have smart home functionality for taking actions from a couch or other sitting position. ,"bayes 0.9999158853821504, "
Make it so each board in a certain area will all display the same thing so you can all leave each other notes.,"bayes 0.9999999999820184, "
"You could coat a small ball of some kind to turn it into a touch display where you double tap to activate it. Once activated
","bayes 0.999999999982961, "
can turn vending machines into touch machines.,"bayes 0.9932756964457252, "
"A mirror that can display information like time, date, weather, and calendar events while still showing your reflection.","bayes 0.9949640464212166, "
A painting that can change and has a lot of samples on it and you can hang it on your wall.,"bayes 0.9888801339840299, "
A auto cleaning vaccum cleaner can be made out of it for sure,"bayes 0.9988236816425037, "
Use it on car paint so you can unlock with your fingerprint or code.,"bayes 0.9202960069118364, "
A home switch box control can be made,"bayes 0.9999966121547008, "
"Apply it on a wall for extra browsing space in an office. 
","bayes 0.9914823750436559, "
"my idea is for a truly indestructible dog toy that has a squeaker inside.  the toy needs to be flexible enough to make the squeaker work, but not so pliable that it can be easily chewed","bayes 0.9999939469398922, "
Captured on film: the moment Prince Charles turned on Diana forever,"bayes 0.9988391590352121, "
a drop-down menu I can apply to any program at any time. The menu would contain frequently typed items missed or misunderstood by auto-fill,"bayes 0.9999992325896722, "
I would choose products and assemble or make to all the surface into a touch display type. Because that have some of features in the products.,"bayes 0.9999999999550462, "
Australian golfer Jarrod Lyle dies after long battle with cancer,"bayes 0.9982597486303577, "
"you could turn a blank wall into a pc gamers dream monitor and make it so that if you held a special game weapon you could play CoD or that sort of game interactively and make it feel as if you were actually there
","bayes 0.9999999999999967, "
Putting one on a treadmill so you can have something to do when exercising.,"bayes 0.9999950241101189, "
Touch displays can be added to the side of headphones in order to get more fine tuned selection of options as opposed to either physical buttons or being forced to use the host device. ,"bayes 1.0, "
Toy that is a like a rubik's cube but the sides are all touch displays.,"bayes 0.9999968211912995, "
A window where you can control how much light gets in by swiping,"bayes 0.9999997587435908, "
Glasses you could touch to adjust light blocking abilities.,"bayes 0.9409967538667174, "
A out of the box door lock system along with inside the house locker system can be done with great uses for sure,"bayes 0.9999999939299792, "
A table covered so you can touch remote.,"bayes 0.9527956003666361, "
A car dashboard that you can control all of your cars settings from,"bayes 0.9989485522615669, "
Can turn a blackboard or a map into touch objects controlling them.,"bayes 0.9759939370461175, "
A touchscreen on my bookcase. I have a bookcase that is partially enclosed. It would be great to be able to keep track of what books are there and where they are. ,"bayes 0.9999924971645721, "
A wall in the bedroom that displays pictures all of your clothes to help you create outfits,"bayes 0.999979490727331, "
A auto toilet system can be made out of it for sure,"bayes 0.999215480146634, "
"A touchscreen right inside my door that allows me to operate all of the lights, and electronics in my home.","bayes 0.9777614007248338, "
On the kitchen counter. You could have a section where you could always bring up recipes and instructions. ,"bayes 0.9980467315203108, "
If you could reapply the coating to an actual touch screen and it would create a gravitational vortex that ripped the whole universe asunder as if telling you that you cannot combine what is with what is not,"bayes 0.9540498533918925, "
"Imagine a land where if you could touch it it would turn into a substance and that substance would infinitely loop back into a touch screen, an endless recursion where you attempt to escape but you must touch it and it will then force you to be untouched forcing you to touch again. ","bayes 0.9999999948322497, "
"I would put this coating on my hand, so I can carry it anywhere I go and do stuff I want","bayes 0.9996066596062013, "
Turn the entrances of sports stadiums into fingerprint required areas.,"bayes 0.9997692637315548, "
a printer that works by touchscreen and can make any product instantly.,"bayes 0.9999989639089525, "
A touch screen display in the garage tool bench so you can watch videos on repair or fix something. ,"bayes 0.9988391590352121, "
Stylish Princess Mary stuns at fashion show,"bayes 0.9358524719990948, "
your desktop could be a touchpad for your computer,"bayes 0.963615070879933, "
Use the kitchen counter in a home to order food items.,"bayes 0.999989836532967, "
"You could use the coating on the front of back of books that indicate the page numbers of important passages or when you starting reading the point or it could have a timer that shows each time you starting and stopped reading the book. The coating would allow you to take notes that would always be with the book when you carry it around
","bayes 0.9999999993669547, "
making all walls touchscreen so you can call or text someone without a phone,"bayes 0.9863263067736591, "
"This 15-minute shampoo treatment begins when you lean your head back into a machine that looks like a sink at the salon. First it maps your scalp, then it shoots streams of warm water and foam shampoo from its 28 nozzles before 24 silicone “fingers” work up a lather. One conditioning mist, scalp massage and light blow-dry later, you’re done. Nathaniel Penn","bayes 1.0, "
"With that technology , you could make temp controls bathrooms. You could convert any tv or computer into an interactive device. You could even have interactive menus at movie theaters and restaurants. There are so many applications for this, all appliances could pre made with  or made to be compatible with this coating. You could corner a market.","bayes 0.9999999771331578, "
"Clothes that could tell you the weather
","bayes 0.9728876020005265, "
A touchscreen for the bathroom to regulate the water temperature in the shower and also be used as a radio or television.,"bayes 0.9924569754668618, "
"a gps tracking device to find it
a vibration system","bayes 0.9287598944591029, "
A microwave or fridge that will make what ever food you want by simply touching it.,"bayes 0.9999828492692207, "
Interactive tables,"bayes 0.983524236624868, "
drafting desk,Charcount
"Interactive picture that would display art from a particular artist, say a picture that displays Dali.","bayes 0.9999997499340576, "
Full room displays,"bayes 0.9990001310507847, "
A fully interactive tabletop. This could be used for gaming or just having a large work area with multiple windows. ,"bayes 0.9891839450234472, "
It can be used on the refrigerator to keep track of what is in and to list things that need to be purchased or purchase thing as needed.,"bayes 0.9999999942780198, "
"Spray the coating on the bathroom wall to adjust the water temperature and water pressure and to put music, podcast, news, or audiobooks to listen while you shower.","bayes 0.9724489154132167, "
"Your spandex can now subtly nag you to work out. A Finnish company, Myontec, recently began marketing underwear embedded with electromyographic sensors that tell you how hard you’re working your quadriceps, hamstring and gluteus muscles. It then sends that data to a computer for analysis. Although the skintight shorts are being marketed to athletes and coaches, they could be useful for the deskbound. The hope, according to Arto Pesola, who is working on an advanced version of the sensors, is that when you see data telling you just how inert you really are, you’ll be inspired to lead a less sedentary life. Gretchen Reynolds","bayes 1.0, "
Smart clothes,"Charcountbayes 0.9098468271334792, "
"You can use the area on your desk where the keyboard goes and instead of the keyboard, the area itself can become a touch screen keyboard.","bayes 0.9998415877176245, "
