DESCRIPTION,CHALLENGE,TRIGGERED,PREDICTION,OTHERBayes,OTHERS,STATUS
A lawn mower with the touch display sprayed on that shows how well the grass is being cut.,TCO,"['', 'Wordcount']","Bayes: 0.9999999925229258, complexBayes 1.0, linClass: 0 0, USE: 1 0.9838321","BayesTCO: 0.9999999918762446, BayesMixed 1.3275704002785336e-05, BayesMixed w/o dups 1.9861188988539433e-05, compl BayesTCO: 1.0, compl BayesMixed: 0.0006793757800571002, compl BayesMixed w/o dups: 0.0010763119640593054","Lin Class: 0 0, USE mixed: 0 0.5726916",usable
"I mean, you could put it everywhere! You could turn all surfaces into a touch computer. The world could be like the Minority Report!",TCO,[''],"Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.5807761","BayesTCO: 1.0, BayesMixed 0.0008115297042944966, BayesMixed w/o dups 0.001099480357203843, compl BayesTCO: 1.0, compl BayesMixed: 3.535989210051933e-11, compl BayesMixed w/o dups: 5.464673994224101e-11","Lin Class: 0 0, USE mixed: 0 0.69417137",usable
desks could be used for education or to give displays in business.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0003228584582788139, complexBayes 0.001422267819018642, linClass: 0 0, USE: 1 0.5891595","BayesTCO: 0.000678039786225211, BayesMixed 2.3950208691830486e-06, BayesMixed w/o dups 1.3194032083332706e-06, compl BayesTCO: 1.0, compl BayesMixed: 3.202962704256073e-17, compl BayesMixed w/o dups: 1.950484614598486e-17","Lin Class: 0 0, USE mixed: 0 0.9343399",usable
Turn desks in schools into virtual notebooks and a way for children to respond to answers posed by teachers.,TCO,"['', 'Wordcount']","Bayes: 0.0013887417041892032, complexBayes 0.5462285958828612, linClass: 0 0, USE: 1 0.6347529","BayesTCO: 0.0028633570360073113, BayesMixed 1.338453150980219e-06, BayesMixed w/o dups 1.6690932629298795e-06, compl BayesTCO: 0.9999999999997621, compl BayesMixed: 1.2314238533749588e-07, compl BayesMixed w/o dups: 9.356835525823258e-08","Lin Class: 0 0, USE mixed: 0 0.9438576",usable
A mirror that can magnify on touch.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 8.439573589211552e-05, complexBayes 0.0010271417006549066, linClass: 0 0, USE: 0 0.60075235","BayesTCO: 9.322105048719965e-05, BayesMixed 0.016843799835167168, BayesMixed w/o dups 0.019646759121439244, compl BayesTCO: 0.0007570011717502509, compl BayesMixed: 0.0346866134972188, compl BayesMixed w/o dups: 0.027763579061962935","Lin Class: 0 0, USE mixed: 0 0.7072202",usable
"I would most definitely make a special coating with different color background to use in kids rooms with a frame. The frames can come in different sizes
",TCO,['duplicate'],,,,usable
"A glass desktop could serve as your computer interfaces so you wouldn't need a mouse or perhaps even a keyboard.
",TCO,[''],"Bayes: 0.9999999429765978, complexBayes 1.0, linClass: 0 0, USE: 1 0.65852","BayesTCO: 0.9999998800361452, BayesMixed 0.0022669969139954426, BayesMixed w/o dups 0.0036351060090510814, compl BayesTCO: 1.0, compl BayesMixed: 3.466489105286894e-05, compl BayesMixed w/o dups: 2.3837886914902485e-05","Lin Class: 0 0, USE mixed: 0 0.71899897",usable
"Touch displays could be added to tables or other surfaces in which a person lounges about in order to make the use of electronic devices while in an otherwise impossible position, possible. ",TCO,[''],"Bayes: 7.758905791956655e-07, complexBayes 1.5008389790789974e-09, linClass: 0 0, USE: 1 0.6845678","BayesTCO: 1.995158610489645e-06, BayesMixed 1.8972707936673047e-07, BayesMixed w/o dups 2.3701867257240437e-07, compl BayesTCO: 0.9997576534529098, compl BayesMixed: 5.042018551470809e-28, compl BayesMixed w/o dups: 3.0109874350202487e-27","Lin Class: 0 0, USE mixed: 0 0.9451387",usable
A kid's drawing board like on a wall so they can paint and play with it.,TCO,"['', 'Wordcount']","Bayes: 3.0711764109371766e-07, complexBayes 1.9738275504068433e-06, linClass: 0 0, USE: 0 0.6768051","BayesTCO: 1.1311887147000173e-06, BayesMixed 2.9472412779872144e-07, BayesMixed w/o dups 3.630983917598594e-07, compl BayesTCO: 1.6044261631673834e-06, compl BayesMixed: 2.9220428572366827e-09, compl BayesMixed w/o dups: 2.8232917936776454e-09","Lin Class: 0 0, USE mixed: 0 0.83429545",usable
Touch screen tables in a restaurant where you can order your food and pay.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.999999997464844, complexBayes 0.9999988485975418, linClass: 0 0, USE: 0 0.80119336","BayesTCO: 0.9999999974539523, BayesMixed 0.0016155500518619018, BayesMixed w/o dups 0.0036969014605089234, compl BayesTCO: 0.9999993719429093, compl BayesMixed: 7.978369080292769e-08, compl BayesMixed w/o dups: 2.465627349649597e-07","Lin Class: 0 0, USE mixed: 0 0.7814804",usable
"A touch display could be added to the bathroom shower tile in order to more finely tune the shower water temperature, pressure, spray format etc. ",TCO,[''],"Bayes: 8.555699465755937e-08, complexBayes 0.9991934404461172, linClass: 0 0, USE: 1 0.8513354","BayesTCO: 4.900769069768754e-08, BayesMixed 8.037265988768147e-08, BayesMixed w/o dups 1.8495164610570385e-07, compl BayesTCO: 0.9993817042347426, compl BayesMixed: 2.856580113320382e-20, compl BayesMixed w/o dups: 1.5660303909914498e-19","Lin Class: 0 0, USE mixed: 0 0.7581476",usable
A white board that can be reset with a touch right off the surface.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999999980101935, complexBayes 3.643338810201674e-08, linClass: 0 0, USE: 1 0.76024234","BayesTCO: 0.9999999985690152, BayesMixed 0.0016099180329873413, BayesMixed w/o dups 0.0020540166071219943, compl BayesTCO: 2.070568355685089e-08, compl BayesMixed: 6.8683203617055026e-09, compl BayesMixed w/o dups: 3.3420159495312196e-08","Lin Class: 0 0, USE mixed: 0 0.67418665",usable
City operated location service a person could use to find the right location by spraying various areas around a city.,TCO,[''],"Bayes: 1.96498713063886e-06, complexBayes 0.9999998980941845, linClass: 0 0, USE: 1 0.91382605","BayesTCO: 2.6047348898639364e-06, BayesMixed 4.829371085015672e-09, BayesMixed w/o dups 8.074955735542186e-09, compl BayesTCO: 0.9999998990559167, compl BayesMixed: 6.055099450019495e-15, compl BayesMixed w/o dups: 5.455611126990615e-14","Lin Class: 0 0, USE mixed: 0 0.8873021",usable
A desk that can be made into a touch display for your computer.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 7.696977100889823e-05, complexBayes 0.9609313552161616, linClass: 0 0, USE: 1 0.79571825","BayesTCO: 0.00013639027537852523, BayesMixed 0.00036362401005592083, BayesMixed w/o dups 0.00039139391820027696, compl BayesTCO: 0.9201470756664376, compl BayesMixed: 2.623051128337565e-09, compl BayesMixed w/o dups: 7.333556725815296e-08","Lin Class: 0 0, USE mixed: 0 0.6900748",usable
touch activated faucet,TCO,"['', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.16603773584905665, complexBayes 0.999999999999, linClass: 0 0, USE: 1 0.7493197","BayesTCO: 0.16103973707798028, BayesMixed 0.60602963204395, BayesMixed w/o dups 0.6299082274185153, compl BayesTCO: 0.999999999999, compl BayesMixed: 0.999999999999, compl BayesMixed w/o dups: 0.999999999999","Lin Class: 0 0, USE mixed: 0 0.52898836",usable
You could make a touch mirror that shows you outfits or hair.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 7.485882483823811e-06, complexBayes 6.617842591836054e-06, linClass: 0 0, USE: 0 0.5703607","BayesTCO: 4.70740374465105e-06, BayesMixed 0.00046047551444651643, BayesMixed w/o dups 0.00017118466131230503, compl BayesTCO: 6.511035497962654e-06, compl BayesMixed: 1.0113858020168255e-08, compl BayesMixed w/o dups: 4.1579082942518857e-08","Lin Class: 0 0, USE mixed: 0 0.74264467",usable
digital window for basement or windowless areas,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.00983174939548357, complexBayes 0.4693173939927674, linClass: 0 0, USE: 0 0.6463182","BayesTCO: 0.019511253621998174, BayesMixed 0.0044419122256020935, BayesMixed w/o dups 0.0034236306925351954, compl BayesTCO: 0.2876108759928111, compl BayesMixed: 0.002249542797006345, compl BayesMixed w/o dups: 0.0006686837192209455","Lin Class: 0 0, USE mixed: 0 0.8200407",usable
A text-messaging device that sends texts to any other user with it.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0006780153707239019, complexBayes 0.9999999992598834, linClass: 0 0, USE: 1 0.9734833","BayesTCO: 0.0007673857644298337, BayesMixed 6.523826548600368e-05, BayesMixed w/o dups 0.00010529811690314188, compl BayesTCO: 0.9999999993250627, compl BayesMixed: 1.1283815346655186e-05, compl BayesMixed w/o dups: 0.00011130268529421409","Lin Class: 0 0, USE mixed: 0 0.5878834",usable
On the outside of headphones to increase the volume.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 0.0043713686725268715, complexBayes 0.00031958483224743116, linClass: 0 0, USE: 1 0.72012407","BayesTCO: 0.006815469614637977, BayesMixed 0.0005863767240494329, BayesMixed w/o dups 0.0006827714785424411, compl BayesTCO: 0.00021081445299760176, compl BayesMixed: 2.8218868432548327e-07, compl BayesMixed w/o dups: 5.540890978297928e-07","Lin Class: 0 0, USE mixed: 0 0.71879286",usable
A compilation of games that can be used like tic-tac-toe and other simple games with a setting to find each game.,TCO,[''],"Bayes: 4.448566674080757e-06, complexBayes 0.9999998283249847, linClass: 0 0, USE: 1 0.738561","BayesTCO: 1.01811072785052e-05, BayesMixed 9.926998311469524e-09, BayesMixed w/o dups 1.260666893080887e-08, compl BayesTCO: 1.0, compl BayesMixed: 9.234313453404084e-14, compl BayesMixed w/o dups: 8.075580930855215e-13","Lin Class: 0 0, USE mixed: 0 0.85741025",usable
digital ceiling to show stars or other destinations ,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.023605187677722444, complexBayes 0.21279670910000553, linClass: 0 0, USE: 1 0.88618803","BayesTCO: 0.023573323925603597, BayesMixed 0.0007703384758161014, BayesMixed w/o dups 0.0010611459509315766, compl BayesTCO: 0.3542600896860987, compl BayesMixed: 0.0003734591405370507, compl BayesMixed w/o dups: 0.0003074010653157723","Lin Class: 0 0, USE mixed: 0 0.83746064",unusable
create your own touch screen computer,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.08381690314251235, complexBayes 1.0, linClass: 0 0, USE: 1 0.98541147","BayesTCO: 0.08284789606290636, BayesMixed 0.3546955464377059, BayesMixed w/o dups 0.3817892901177002, compl BayesTCO: 1.0, compl BayesMixed: 1.0, compl BayesMixed w/o dups: 1.0","Lin Class: 0 0, USE mixed: 0 0.58836704",usable
A touch display window which could control automated blinds and window locks.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 1.4392095294362437e-05, complexBayes 0.9999897162001667, linClass: 0 0, USE: 0 0.76084465","BayesTCO: 1.9734113248510844e-05, BayesMixed 0.0007307595423980031, BayesMixed w/o dups 0.0006582052250479821, compl BayesTCO: 0.9998865317263675, compl BayesMixed: 0.0006880418286902752, compl BayesMixed w/o dups: 0.0016019986438293632","Lin Class: 0 0, USE mixed: 0 0.787562",usable
coffee table touchscreen. ,TCO,"['', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram']","Bayes: 0.025034137460172964, complexBayes 0.05529157667386612, linClass: 0 0, USE: 1 0.6753731","BayesTCO: 0.020778239516433705, BayesMixed 0.5392737695615343, BayesMixed w/o dups 0.6352064320581632, compl BayesTCO: 0.05529157667386612, compl BayesMixed: 0.05529157667386612, compl BayesMixed w/o dups: 0.05529157667386612","Lin Class: 0 0, USE mixed: 0 0.5191276",usable
Make your car buttons all into touch display buttons.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.9999999997864888, complexBayes 1.0, linClass: 0 0, USE: 1 0.9608979","BayesTCO: 0.9999999999154432, BayesMixed 0.06601396073670099, BayesMixed w/o dups 0.02221494223179133, compl BayesTCO: 1.0, compl BayesMixed: 0.9999999999941382, compl BayesMixed w/o dups: 0.9999999999729814","Lin Class: 0 0, USE mixed: 0 0.5599421",usable
Touch display on a desk so the mouse and keyboard would be directly on the desk. ,TCO,"['', 'Wordcount']","Bayes: 1.6409052033652957e-07, complexBayes 3.0833009886226527e-10, linClass: 0 0, USE: 0 0.5129671","BayesTCO: 1.1429355411670744e-07, BayesMixed 0.0006189327064057013, BayesMixed w/o dups 0.0006793527073644147, compl BayesTCO: 5.68196486099617e-10, compl BayesMixed: 3.020294652667777e-12, compl BayesMixed w/o dups: 1.9869409345165738e-11","Lin Class: 0 0, USE mixed: 0 0.674258",usable
You could turn an ordinary laptop or desktop pc into a touch computer.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0008508010281779983, complexBayes 0.0119300005954332, linClass: 0 0, USE: 1 0.76754594","BayesTCO: 0.0017962013104207033, BayesMixed 0.03412581076777184, BayesMixed w/o dups 0.023417719764664592, compl BayesTCO: 0.01195290980409002, compl BayesMixed: 0.0008702325166628005, compl BayesMixed w/o dups: 0.0005635945731103488","Lin Class: 0 0, USE mixed: 0 0.6110242",usable
A touch display microwave.,TCO,"['', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 0.02835273406729719, complexBayes 0.999999999999, linClass: 0 0, USE: 1 0.9760503","BayesTCO: 0.024464023164015483, BayesMixed 0.1555377800171314, BayesMixed w/o dups 0.16751534429706136, compl BayesTCO: 0.999999999999, compl BayesMixed: 0.9999999999982578, compl BayesMixed w/o dups: 0.9999999999980579","Lin Class: 0 0, USE mixed: 1 0.646551",usable
"A bush trimmer that shows the desired bush size, the amount you've already trimmed, and how much is remaining for the desired trim. A picture of the bush with progression would be displayed.",TCO,[''],"Bayes: 0.9999999232337279, complexBayes 1.0, linClass: 0 0, USE: 1 0.9949686","BayesTCO: 0.9999999629433882, BayesMixed 6.093695717464071e-09, BayesMixed w/o dups 1.4091373702790678e-08, compl BayesTCO: 1.0, compl BayesMixed: 1.4132053843487707e-10, compl BayesMixed w/o dups: 1.852611758539751e-10","Lin Class: 0 0, USE mixed: 1 0.6473663",usable
A bathroom mirror to check the weather before leaving the house.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 7.101627287262363e-05, complexBayes 0.001811534670724041, linClass: 0 0, USE: 1 0.708133","BayesTCO: 5.7110786771802365e-05, BayesMixed 5.714131149063686e-05, BayesMixed w/o dups 6.0982287369200776e-05, compl BayesTCO: 0.00203951240408417, compl BayesMixed: 0.0014242651926278664, compl BayesMixed w/o dups: 0.0009483251269302832","Lin Class: 0 0, USE mixed: 0 0.6653595",usable
Filing cabinet system where you can see what index of files are inside each drawer before opening and searching.,TCO,"['', 'Wordcount']","Bayes: 0.9999989489514169, complexBayes 0.9999980655522874, linClass: 0 0, USE: 0 0.7473785","BayesTCO: 0.9999990316810018, BayesMixed 2.237638404014787e-06, BayesMixed w/o dups 3.4681912680665956e-06, compl BayesTCO: 0.9999976324929994, compl BayesMixed: 4.175051977395417e-08, compl BayesMixed w/o dups: 1.4485515117043108e-07","Lin Class: 0 0, USE mixed: 0 0.784281",usable
"A touch display could be added to restaurant tables to make orders, questions and concerns a seamless experience. ",TCO,"['', 'Wordcount']","Bayes: 6.5983029393292415e-06, complexBayes 1.2133472702850278e-11, linClass: 0 0, USE: 0 0.53331184","BayesTCO: 5.503667928316655e-06, BayesMixed 5.592752335831012e-05, BayesMixed w/o dups 8.45444338017683e-05, compl BayesTCO: 1.9585874125019205e-11, compl BayesMixed: 4.5026421705706326e-10, compl BayesMixed w/o dups: 1.0306139182908181e-09","Lin Class: 0 0, USE mixed: 0 0.8647094",usable
Wardrobe that tells you how much space is left inside after putting in clothes.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.99999999955429, complexBayes 0.9999999999743913, linClass: 0 0, USE: 1 0.9233201","BayesTCO: 0.9999999996261557, BayesMixed 2.4013595894664266e-05, BayesMixed w/o dups 1.664511209793703e-05, compl BayesTCO: 0.9999999999775764, compl BayesMixed: 0.00019947726656372564, compl BayesMixed w/o dups: 0.00013390801618927756","Lin Class: 0 0, USE mixed: 0 0.5650773",unusable
A refrigerator where you can create a shopping list by tapping on products,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999999868465924, complexBayes 0.00019388195870225297, linClass: 0 0, USE: 0 0.55692846","BayesTCO: 0.9999999839207426, BayesMixed 5.207419880793614e-05, BayesMixed w/o dups 8.643749557567422e-05, compl BayesTCO: 7.018483170709214e-05, compl BayesMixed: 2.1016522991264752e-07, compl BayesMixed w/o dups: 3.0644756806192564e-07","Lin Class: 0 0, USE mixed: 0 0.73402476",usable
A panel for your pantry door to keep track of the contents of your pantry.,TCO,"['', 'Wordcount']","Bayes: 2.576705004777706e-05, complexBayes 0.017498020071545304, linClass: 0 0, USE: 1 0.92700946","BayesTCO: 3.364687074090303e-05, BayesMixed 5.518861678588453e-06, BayesMixed w/o dups 6.97244973920944e-06, compl BayesTCO: 0.9999999999720182, compl BayesMixed: 1.6139539101495328e-09, compl BayesMixed w/o dups: 1.5522946559629697e-09","Lin Class: 0 0, USE mixed: 0 0.560109",usable
Apply it to a wall and be able to control the building,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 5.968838799451281e-06, complexBayes 5.9199039471197496e-08, linClass: 0 0, USE: 0 0.649767","BayesTCO: 1.4104133839597627e-05, BayesMixed 1.3753214254153895e-05, BayesMixed w/o dups 1.54075761509509e-05, compl BayesTCO: 0.9999867300324204, compl BayesMixed: 4.0664228269086733e-16, compl BayesMixed w/o dups: 1.1602279291053602e-15","Lin Class: 0 0, USE mixed: 0 0.882282",usable
Touchscreen table that could serve as a computer.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.00015097210385691762, complexBayes 0.9999999710128398, linClass: 0 0, USE: 0 0.58330005","BayesTCO: 0.00014543577233148172, BayesMixed 0.03686620295293106, BayesMixed w/o dups 0.054412154559761276, compl BayesTCO: 0.9999997230128518, compl BayesMixed: 0.0004604521851887052, compl BayesMixed w/o dups: 0.0004641284022239137","Lin Class: 0 0, USE mixed: 0 0.7252596",usable
"Despite being touch-sensitive, the objects don’t include a display, which means the inputs have to be read on another device.Right now, the system also can’t do multi-touch, referring to the common interaction method on a trackpad or touchscreen in which more than one points of contact with the surface are recognized simultaneously. That could well change in the future.",TCO,[''],"Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.9483501","BayesTCO: 1.0, BayesMixed 1.4817774436556958e-09, BayesMixed w/o dups 3.394856465022939e-08, compl BayesTCO: 1.0, compl BayesMixed: 1.1175742636041686e-15, compl BayesMixed w/o dups: 5.5484638961535106e-15","Lin Class: 0 0, USE mixed: 0 0.795857",unusable
A portable piano,TCO,"['', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.17819080910563562, complexBayes 0.31609195402298856, linClass: 0 0, USE: 1 0.8933629","BayesTCO: 0.18954974986103396, BayesMixed 0.038857324711254346, BayesMixed w/o dups 0.0435830758966586, compl BayesTCO: 0.36423841059602646, compl BayesMixed: 0.058103072247307264, compl BayesMixed w/o dups: 0.3908762280721208","Lin Class: 0 0, USE mixed: 1 0.6310122",usable
Put it on your refrigerator to leave notes for people.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 5.788454186007052e-07, complexBayes 5.100123861408901e-07, linClass: 0 0, USE: 0 0.8612901","BayesTCO: 8.675741574342181e-07, BayesMixed 3.2281440558852255e-05, BayesMixed w/o dups 4.007965491883028e-05, compl BayesTCO: 3.698778184220524e-07, compl BayesMixed: 3.3545153249891405e-07, compl BayesMixed w/o dups: 1.5827323088859653e-06","Lin Class: 0 0, USE mixed: 0 0.86144036",usable
You could add it to your water bottle so that it tells you how much is left and how much you have drank so far.,TCO,[''],"Bayes: 0.999999751410076, complexBayes 0.9999992321418718, linClass: 0 0, USE: 0 0.7146316","BayesTCO: 0.9999997726551972, BayesMixed 1.2017953328208384e-07, BayesMixed w/o dups 2.852644742923338e-07, compl BayesTCO: 0.9999989893045016, compl BayesMixed: 5.907874708554638e-20, compl BayesMixed w/o dups: 2.099127676202513e-18","Lin Class: 0 0, USE mixed: 0 0.7926785",unusable
"Spray this on your desk. You could have a built in calculator, calendar, place to write note. ",TCO,"['', 'Wordcount']","Bayes: 1.0775451992217522e-06, complexBayes 9.04440474555874e-07, linClass: 0 0, USE: 0 0.6490435","BayesTCO: 1.1935456191338002e-06, BayesMixed 4.865772674104806e-06, BayesMixed w/o dups 9.237006752031937e-06, compl BayesTCO: 8.506822325103928e-07, compl BayesMixed: 1.9246511923017923e-11, compl BayesMixed w/o dups: 1.2378309103685764e-10","Lin Class: 0 0, USE mixed: 0 0.7669735",usable
You could add it to your filing cabinet to keep track of what documents are inside.,TCO,"['', 'Wordcount']","Bayes: 4.7387945900966883e-07, complexBayes 8.293290708730612e-06, linClass: 0 0, USE: 0 0.6634733","BayesTCO: 3.686859135120452e-07, BayesMixed 1.2188300297869608e-07, BayesMixed w/o dups 2.2369365009957086e-07, compl BayesTCO: 3.90834354651474e-06, compl BayesMixed: 1.5203749048755207e-17, compl BayesMixed w/o dups: 1.5177043055691866e-16","Lin Class: 0 0, USE mixed: 0 0.912526",usable
Spray it on your bathroom mirror. You could accomplish tasks while getting ready in the morning. ,TCO,"['', 'Wordcount']","Bayes: 5.47878666865492e-08, complexBayes 6.43449891073231e-07, linClass: 0 0, USE: 0 0.6741372","BayesTCO: 3.2602970772900036e-08, BayesMixed 7.920172831971413e-06, BayesMixed w/o dups 7.4030014950912484e-06, compl BayesTCO: 4.0718747241420903e-07, compl BayesMixed: 4.7781440414258904e-08, compl BayesMixed w/o dups: 6.67108573195986e-08","Lin Class: 0 0, USE mixed: 0 0.79124224",usable
